scenario,config,replication,rmse_mean_m,rmse_p95_m,eloc_mah,ejour_mah,autonomie_j,taux_succes,overhead_B,pct_tdoa,pct_agps,pct_gps,hdop_median,hdop_p95,pct_hdop_sup10,d3_max_m,marge_m,passerelles_vues_min,e_radio_cupcarbon_mah,source
Urbain,TDoA,9,67.09,146.66,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,1.148,4.132,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,GPS,9,6.56,12.99,0.25959,75.242,39.9,92.78,0,0.0,0.0,100.0,1.148,4.132,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,AGPS,9,14.78,29.24,0.09959,29.162,102.9,96.17,48,0.0,100.0,0.0,1.148,4.132,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,Optimisé,9,28.95,61.82,0.04276,4.585,654.4,100.0,16,64.8,34.1,1.1,1.158,4.11,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Rural,TDoA,9,58.23,127.66,0.00925,3.144,954.3,92.35,24,100.0,0.0,0.0,1.942,14.521,7.65,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,GPS,9,4.87,9.51,0.25959,75.242,39.9,98.56,0,0.0,0.0,100.0,1.942,14.521,7.65,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,AGPS,9,11.41,22.61,0.09959,29.162,102.9,99.01,48,0.0,100.0,0.0,1.942,14.521,7.65,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,Optimisé,9,23.74,49.5,0.04417,4.721,635.5,100.0,16,61.9,37.8,0.3,1.897,15.827,7.7,5880.0,1620.0,3,0.1501,cupcarbon+modele
Mixte,TDoA,9,84.42,189.92,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,2.064,6.376,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,GPS,9,5.69,11.12,0.25959,75.242,39.9,96.24,0,0.0,0.0,100.0,2.064,6.376,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,AGPS,9,13.13,25.63,0.09959,29.162,102.9,97.3,48,0.0,100.0,0.0,2.064,6.376,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,Optimisé,9,23.16,48.19,0.05931,6.174,485.9,100.0,16,47.1,51.4,1.4,2.14,6.445,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Urbain,TDoA,10,66.34,141.72,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,1.149,4.162,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,GPS,10,6.51,12.64,0.25959,75.242,39.9,92.92,0,0.0,0.0,100.0,1.149,4.162,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,AGPS,10,15.01,29.27,0.09959,29.162,102.9,96.67,48,0.0,100.0,0.0,1.149,4.162,0.0,1679.0,821.0,5,0.1501,cupcarbon+modele
Urbain,Optimisé,10,28.73,59.44,0.04342,4.648,645.4,100.0,16,64.4,34.4,1.2,1.156,4.115,0.0,1667.0,833.0,5,0.1501,cupcarbon+modele
Rural,TDoA,10,57.76,120.93,0.00925,3.144,954.3,92.36,24,100.0,0.0,0.0,1.918,14.455,7.64,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,GPS,10,4.88,9.51,0.25959,75.242,39.9,98.28,0,0.0,0.0,100.0,1.918,14.455,7.64,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,AGPS,10,11.3,22.35,0.09959,29.162,102.9,99.16,48,0.0,100.0,0.0,1.918,14.455,7.64,5880.0,1620.0,3,0.1501,cupcarbon+modele
Rural,Optimisé,10,23.82,50.42,0.04404,4.708,637.2,100.0,16,61.9,37.9,0.2,1.88,13.36,7.39,5880.0,1620.0,3,0.1501,cupcarbon+modele
Mixte,TDoA,10,82.32,184.38,0.00925,3.144,954.3,100.0,24,100.0,0.0,0.0,2.023,6.381,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,GPS,10,5.72,11.34,0.25959,75.242,39.9,95.84,0,0.0,0.0,100.0,2.023,6.381,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,AGPS,10,13.07,25.57,0.09959,29.162,102.9,97.46,48,0.0,100.0,0.0,2.023,6.381,0.0,829.0,671.0,4,0.1501,cupcarbon+modele
Mixte,Optimisé,10,22.51,47.38,0.05712,5.963,503.1,100.0,16,49.0,49.8,1.1,1.996,6.298,0.0,828.0,672.0,4,0.1501,cupcarbon+modele
