Time (Sec);S41;S42;S43;S44;S1;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S2;S20;S21;S22;S23;S24;S25;S26;S27;S28;S29;S3;S30;S31;S32;S33;S34;S35;S36;S37;S38;S39;S4;S40;S5;S6;S7;S8;S9;
41700.0;35640.0;35640.0;35640.0;35640.0;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;
41700.38454279444;35640.0;35640.0;35640.0;35640.0;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;
42000.0;35640.0;35640.0;35640.0;35640.0;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;35639.046655999555;
42000.0;35640.0;35640.0;35640.0;35640.0;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;
42000.38454279444;35640.0;35640.0;35640.0;35640.0;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;
42180.0;35640.0;35640.0;35640.0;35640.0;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;
42300.0;35640.0;35640.0;35640.0;35640.0;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;35639.03984639955;
42300.0;35640.0;35640.0;35640.0;35640.0;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;
42300.38454279444;35640.0;35640.0;35640.0;35640.0;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;
42600.0;35640.0;35640.0;35640.0;35640.0;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;35639.03303679955;
42600.0;35640.0;35640.0;35640.0;35640.0;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;
42600.38454279444;35640.0;35640.0;35640.0;35640.0;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;
42900.0;35640.0;35640.0;35640.0;35640.0;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;35639.026227199545;
42900.0;35640.0;35640.0;35640.0;35640.0;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;
42900.38454279444;35640.0;35640.0;35640.0;35640.0;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;
43200.0;35640.0;35640.0;35640.0;35640.0;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;35639.01941759954;
43200.0;35640.0;35640.0;35640.0;35640.0;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;
43200.38454279444;35640.0;35640.0;35640.0;35640.0;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;
43500.0;35640.0;35640.0;35640.0;35640.0;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;35639.01260799954;
